b_region,s_region,date_a,value1,date_b,value2
경기,고양일산동구,2013-02-18,91.3,2013-02-18,-0.08
경기,고양일산동구,2013-02-25,91.2,2013-02-25,0.0
경기,고양일산서구,2013-02-04,90.8,2013-02-04,0.0
경기,고양일산서구,2013-02-11,90.7,2013-02-11,-0.1
경기,고양일산서구,2013-02-18,90.6,2013-02-18,-0.06
경기,고양일산서구,2013-02-25,90.4,2013-02-25,-0.17
경기,안양,2013-02-04,77.7,2013-02-04,-0.08
경기,안양,2013-02-11,77.5,2013-02-11,-0.12
경기,안양,2013-02-18,77.4,2013-02-18,-0.21
경기,안양,2013-02-25,77.3,2013-02-25,-0.12
경기,안양만안구,2013-02-04,80.5,2013-02-04,0.0
경기,안양만안구,2013-02-11,80.4,2013-02-11,0.0
경기,안양만안구,2013-02-18,80.3,2013-02-18,-0.18
경기,안양만안구,2013-02-25,80.3,2013-02-25,-0.08
경기,안양동안구,2013-02-04,76.4,2013-02-04,-0.12
경기,안양동안구,2013-02-11,76.3,2013-02-11,-0.18
경기,안양동안구,2013-02-18,76.2,2013-02-18,-0.23
경기,안양동안구,2013-02-25,76.1,2013-02-25,-0.14
경기,부천,2013-02-04,85.8,2013-02-04,-0.01
경기,부천,2013-02-11,85.8,2013-02-11,-0.01
경기,부천,2013-02-18,85.8,2013-02-18,-0.02
경기,부천,2013-02-25,85.7,2013-02-25,-0.02
경기,의정부,2013-02-04,92.6,2013-02-04,-0.01
경기,의정부,2013-02-11,92.5,2013-02-11,-0.09
경기,의정부,2013-02-18,92.4,2013-02-18,-0.14
경기,의정부,2013-02-25,92.0,2013-02-25,-0.07
경기,광명,2013-02-04,71.0,2013-02-04,-0.03
경기,광명,2013-02-11,71.1,2013-02-11,0.0
경기,광명,2013-02-18,71.1,2013-02-18,0.06
경기,광명,2013-02-25,71.1,2013-02-25,0.0
경기,평택,2013-02-04,101.2,2013-02-04,0.0
경기,평택,2013-02-11,101.2,2013-02-11,0.0
경기,평택,2013-02-18,101.2,2013-02-18,0.01
경기,평택,2013-02-25,101.3,2013-02-25,0.01
경기,안산,2013-02-04,93.6,2013-02-04,-0.05
경기,안산,2013-02-11,93.6,2013-02-11,0.0
경기,안산,2013-02-18,93.5,2013-02-18,-0.05
경기,안산,2013-02-25,93.4,2013-02-25,-0.11
경기,안산단원구,2013-02-04,93.8,2013-02-04,0.0
경기,안산단원구,2013-02-11,93.8,2013-02-11,0.0
경기,안산단원구,2013-02-18,93.8,2013-02-18,0.0
경기,안산단원구,2013-02-25,93.8,2013-02-25,-0.01
경기,안산상록구,2013-02-04,93.3,2013-02-04,-0.09
경기,안산상록구,2013-02-11,93.2,2013-02-11,0.0
경기,안산상록구,2013-02-18,93.0,2013-02-18,-0.08
경기,안산상록구,2013-02-25,92.9,2013-02-25,-0.19
경기,과천,2013-02-04,77.2,2013-02-04,-0.15
경기,과천,2013-02-11,77.2,2013-02-11,-0.12
경기,과천,2013-02-18,77.1,2013-02-18,-0.02
