종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"037710","광주신세계","KOSPI","유통업","186000","1000","0.54","297600000000"
"030610","교보증권","KOSPI","증권","8570","-50","-0.58","554078746720"
"339770","교촌에프앤비","KOSPI","유통업","20550","-300","-1.44","513391197000"
"007690","국도화학","KOSPI","화학","88500","0","0.00","514239516000"
"005320","국동","KOSPI","유통업","3520","-55","-1.54","188561676160"
"001140","국보","KOSPI","운수창고업","1460","-35","-2.34","89155689860"
"002720","국제약품","KOSPI","의약품","7250","-40","-0.55","139751652500"
"083420","그린케미칼","KOSPI","화학","12050","-200","-1.63","289200000000"
"014530","극동유화","KOSPI","화학","4650","-80","-1.69","162142803000"
"014280","금강공업","KOSPI","철강금속","8320","-140","-1.65","244020250240"
"014285","금강공업우","KOSPI","철강금속","23800","850","3.70","14039025000"
"008870","금비","KOSPI","비금속광물","77000","-700","-0.90","77000000000"
"001570","금양","KOSPI","화학","5110","-220","-4.13","244335222320"
"002990","금호건설","KOSPI","건설업","12700","-150","-1.17","465250834800"
"002995","금호건설우","KOSPI","건설업","36000","-100","-0.28","10521576000"
"011780","금호석유","KOSPI","화학","211500","-2000","-0.94","6443916646500"
"011785","금호석유우","KOSPI","화학","116000","-2000","-1.69","350724376000"
"214330","금호에이치티","KOSPI","운수장비","2310","-40","-1.70","289345196910"
"001210","금호전기","KOSPI","전기전자","2805","-45","-1.58","46191340305"
"073240","금호타이어","KOSPI","화학","6770","20","0.30","1944752142990"
"092440","기신정기","KOSPI","기계","5110","-120","-2.29","149212000000"
"000270","기아","KOSPI","운수장비","86100","-300","-0.35","34901784176700"
"024110","기업은행","KOSPI","은행","10350","0","0.00","7703511075450"
"013700","까뮤이앤씨","KOSPI","건설업","2480","-40","-1.59","111977654400"
"004540","깨끗한나라","KOSPI","종이목재","6340","0","0.00","236105993620"
"004545","깨끗한나라우","KOSPI","종이목재","30800","-700","-2.22","11277728000"
"001260","남광토건","KOSPI","건설업","16500","250","1.54","162176866500"
"008350","남선알미늄","KOSPI","철강금속","4090","-120","-2.85","450632478100"
"008355","남선알미우","KOSPI","철강금속","48300","-50","-0.10","14871087000"
"004270","남성","KOSPI","유통업","3505","-50","-1.41","126923620800"
"003920","남양유업","KOSPI","음식료품","641000","-2000","-0.31","461520000000"
"003925","남양유업우","KOSPI","음식료품","379500","-3000","-0.78","63248229000"
"025860","남해화학","KOSPI","화학","10650","690","6.93","529079677950"
"005720","넥센","KOSPI","화학","5160","-30","-0.58","276286921320"
"005725","넥센우","KOSPI","화학","3730","-40","-1.06","13430238000"
"002350","넥센타이어","KOSPI","화학","9280","10","0.11","906357898560"
"002355","넥센타이어1우B","KOSPI","화학","3905","5","0.13","25382500000"
"003580","넥스트사이언스","KOSPI","광업","27750","6400","29.98","1145620982250"
"251270","넷마블","KOSPI","서비스업","139500","1000","0.72","11990513529000"
"090350","노루페인트","KOSPI","화학","11950","-300","-2.45","239000000000"
"090355","노루페인트우","KOSPI","화학","31200","-1000","-3.11","14449531200"
"000320","노루홀딩스","KOSPI","기타금융","14400","0","0.00","191392574400"
"000325","노루홀딩스우","KOSPI","기타금융","77000","4000","5.48","14264250000"
"006280","녹십자","KOSPI","의약품","291500","-10000","-3.32","3406625827000"
"005250","녹십자홀딩스","KOSPI","서비스업","31600","-750","-2.32","1486091436000"
"005257","녹십자홀딩스2우","KOSPI","서비스업","72000","-3300","-4.38","60911280000"
"004370","농심","KOSPI","음식료품","322500","1500","0.47","1961652045000"
"072710","농심홀딩스","KOSPI","기타금융","79800","0","0.00","370095642000"
"058730","다스코","KOSPI","기계","6700","-430","-6.03","109210000000"
"023590","다우기술","KOSPI","서비스업","26950","-150","-0.55","1209155328150"
"019680","대교","KOSPI","서비스업","4810","-65","-1.33","407420708500"
"019685","대교우B","KOSPI","서비스업","3670","-75","-2.00","71297053300"
"006370","대구백화점","KOSPI","유통업","11750","-100","-0.84","127153929250"
"008060","대덕","KOSPI","기타금융","7820","-100","-1.26","265020973000"
"00806K","대덕1우","KOSPI","기타금융","12550","-400","-3.09","15215080350"
"353200","대덕전자","KOSPI","전기전자","16050","-400","-2.43","793141646250"
"35320K","대덕전자1우","KOSPI","전기전자","15650","-250","-1.57","32794872350"
"000490","대동","KOSPI","기계","12200","550","4.72","289484162000"
"008110","대동전자","KOSPI","전기전자","7180","-10","-0.14","75321409460"
"005750","대림B&Co","KOSPI","비금속광물","8520","-150","-1.73","142047484800"
"006570","대림통상","KOSPI","기계","4440","30","0.68","67599000000"
"001680","대상","KOSPI","음식료품","27050","-200","-0.73","937229076250"
"001685","대상우","KOSPI","음식료품","20750","-100","-0.48","28432127250"
"084690","대상홀딩스","KOSPI","기타금융","11200","0","0.00","405580425600"
"084695","대상홀딩스우","KOSPI","기타금융","13800","-150","-1.08","12606051600"
"128820","대성산업","KOSPI","유통업","5110","-100","-1.92","231153292580"
"117580","대성에너지","KOSPI","전기가스업","6440","100","1.58","177100000000"
"016710","대성홀딩스","KOSPI","서비스업","38450","-200","-0.52","618639698550"
"003540","대신증권","KOSPI","증권","18350","-250","-1.34","931691890000"
"003547","대신증권2우B","KOSPI","증권","16050","-150","-0.93","160500000000"
"003545","대신증권우","KOSPI","증권","16600","-150","-0.90","431600000000"
