종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"006050","국영지앤엠","KOSDAQ","비금속","2670","-20","-0.74","93170298810"
"060480","국일신동","KOSDAQ","금속","4910","-35","-0.71","54451900000"
"078130","국일제지","KOSDAQ","종이·목재","5270","-140","-2.59","671756850110"
"307750","국전약품","KOSDAQ","제약","7000","-280","-3.85","343484883000"
"204020","그리티","KOSDAQ","섬유·의류","3740","-120","-3.11","75351388200"
"186230","그린플러스","KOSDAQ","금속","18500","400","2.21","200173478000"
"900070","글로벌에스엠","KOSDAQ","금융","1130","-40","-3.42","60730683840"
"204620","글로벌텍스프리","KOSDAQ","금융","3525","-65","-1.81","171796835775"
"019660","글로본","KOSDAQ","유통","4140","-100","-2.36","135644280660"
"053260","금강철강","KOSDAQ","금속","6260","-250","-3.84","117187200000"
"036190","금화피에스시","KOSDAQ","건설","33050","-200","-0.60","198300000000"
"049080","기가레인","KOSDAQ","반도체","2370","-65","-2.67","187806478800"
"035460","기산텔레콤","KOSDAQ","통신장비","3470","-40","-1.14","50583369800"
"308100","까스텔바작","KOSDAQ","유통","14100","-300","-2.08","93013470000"
"187790","나노","KOSDAQ","화학","2250","-85","-3.64","59473743750"
"286750","나노브릭","KOSDAQ","화학","7960","-70","-0.87","74044461280"
"151910","나노스","KOSDAQ","IT부품","6350","-30","-0.47","943770953450"
"121600","나노신소재","KOSDAQ","화학","36850","400","1.10","399761071050"
"247660","나노씨엠에스","KOSDAQ","일반전기전자","18250","250","1.39","76812790000"
"039860","나노엔텍","KOSDAQ","의료·정밀기기","8310","-120","-1.42","222694097370"
"091970","나노캠텍","KOSDAQ","화학","2290","45","2.00","64304173250"
"051490","나라엠앤디","KOSDAQ","기계·장비","10100","-150","-1.46","143420000000"
"190510","나무가","KOSDAQ","IT부품","10600","200","1.92","145667108000"
"242040","나무기술","KOSDAQ","출판·매체복제","3380","-45","-1.31","114751165620"
"089600","나스미디어","KOSDAQ","기타서비스","40950","-1550","-3.65","393321064500"
"293580","나우IB","KOSDAQ","금융","11550","-300","-2.53","110614350000"
"138610","나이벡","KOSDAQ","제약","37850","-1250","-3.20","374827755150"
"130580","나이스디앤비","KOSDAQ","기타서비스","10250","-50","-0.49","157850000000"
"036800","나이스정보통신","KOSDAQ","통신서비스","33100","-450","-1.34","331000000000"
"267320","나인테크","KOSDAQ","IT부품","4265","-10","-0.23","168026302810"
"111710","남화산업","KOSDAQ","오락·문화","11050","-50","-0.45","227497400000"
"091590","남화토건","KOSDAQ","건설","13250","-200","-1.49","155555000000"
"168330","내츄럴엔도텍","KOSDAQ","기타서비스","2525","0","0.00","69623158200"
"094860","네오리진","KOSDAQ","소프트웨어","1835","-45","-2.39","98499205235"
"253590","네오셈","KOSDAQ","반도체","3225","-40","-1.23","121181271300"
"212560","네오오토","KOSDAQ","운송장비·부품","9790","40","0.41","77095887770"
"095660","네오위즈","KOSDAQ","디지털컨텐츠","26800","-950","-3.42","590503669200"
"042420","네오위즈홀딩스","KOSDAQ","디지털컨텐츠","29500","-800","-2.64","261277547000"
"950220","네오이뮨텍(Reg.S)","KOSDAQ","기타서비스","10350","-50","-0.48","1018357303500"
"311390","네오크레마","KOSDAQ","음식료·담배","12050","400","3.43","88157739750"
"085910","네오티스","KOSDAQ","운송장비·부품","5040","-10","-0.20","64417545360"
"092730","네오팜","KOSDAQ","화학","32300","-350","-1.07","265097760300"
"290660","네오펙트","KOSDAQ","의료·정밀기기","4025","-75","-1.83","76097777000"
"306620","네온테크","KOSDAQ","기계·장비","3310","-65","-1.93","130668267580"
"153460","네이블","KOSDAQ","소프트웨어","6840","-90","-1.30","44665295760"
"007390","네이처셀","KOSDAQ","제약","28200","-1000","-3.42","1731662031000"
"033640","네패스","KOSDAQ","반도체","38050","-1000","-2.56","877402636100"
"330860","네패스아크","KOSDAQ","반도체","47500","0","0.00","578742137500"
"089140","넥스턴바이오","KOSDAQ","비금속","7670","-280","-3.52","254804026880"
"065170","넥스트BT","KOSDAQ","유통","1635","-35","-2.10","144271688775"
"137940","넥스트아이","KOSDAQ","의료·정밀기기","1710","15","0.88","131868655830"
"348210","넥스틴","KOSDAQ","반도체","60600","-500","-0.82","579542040000"
"041140","넥슨지티","KOSDAQ","디지털컨텐츠","13050","-250","-1.88","461621852100"
"217270","넵튠","KOSDAQ","출판·매체복제","27300","-1350","-4.71","865732740600"
"225570","넷게임즈","KOSDAQ","디지털컨텐츠","12750","-250","-1.92","367849829250"
"104620","노랑풍선","KOSDAQ","기타서비스","18200","0","0.00","86734830000"
"194700","노바렉스","KOSDAQ","음식료·담배","48750","100","0.21","438932325000"
"285490","노바텍","KOSDAQ","기타제조","37300","-250","-0.67","376049051200"
"278650","노터스","KOSDAQ","기타서비스","30750","1700","5.85","234295566000"
"144510","녹십자랩셀","KOSDAQ","기타서비스","95400","-2000","-2.05","1006856751600"
