MESR_YM,SIDONM,SUM_YN,INDX_VALU
201309,수도권,Y,130.0
201309,서울특별시,N,129.9
201309,인천광역시,N,128.5
201309,경기도,N,130.4
201309,비수도권,Y,124.9
201309,부산광역시,N,121.2
201309,대구광역시,N,141.0
201309,광주광역시,N,129.0
201309,대전광역시,N,122.9
201309,울산광역시,N,124.1
201309,강원도,N,126.1
201309,충청북도,N,122.7
201309,충청남도,N,133.5
201309,전라북도,N,108.6
201309,전라남도,N,113.3
201309,경상북도,N,127.0
201309,경상남도,N,123.4
201310,전국,Y,129.4
201310,수도권,Y,130.1
201310,서울특별시,N,130.9
201310,인천광역시,N,127.5
201310,경기도,N,130.2
201310,비수도권,Y,128.7
201310,부산광역시,N,125.0
201310,대구광역시,N,146.5
201310,광주광역시,N,133.8
201310,대전광역시,N,124.0
201310,울산광역시,N,129.9
201310,강원도,N,127.6
201310,충청북도,N,128.6
201310,충청남도,N,136.5
201310,전라북도,N,111.5
201310,전라남도,N,113.0
201310,경상북도,N,129.1
201310,경상남도,N,129.3
201311,전국,Y,122.7
201311,수도권,Y,121.7
201311,서울특별시,N,124.7
201311,인천광역시,N,120.2
201311,경기도,N,120.3
201311,비수도권,Y,124.0
201311,부산광역시,N,120.0
201311,대구광역시,N,140.5
201311,광주광역시,N,132.0
201311,대전광역시,N,121.8
201311,울산광역시,N,121.7
201311,강원도,N,124.9
201311,충청북도,N,121.4
201311,충청남도,N,134.1
201311,전라북도,N,104.8
201311,전라남도,N,109.5
201311,경상북도,N,124.7
201311,경상남도,N,124.9
201312,전국,Y,115.5
201312,수도권,Y,113.9
201312,서울특별시,N,114.7
201312,인천광역시,N,112.7
201312,경기도,N,113.8
201312,비수도권,Y,117.3
201312,부산광역시,N,113.2
201312,대구광역시,N,125.7
201312,광주광역시,N,123.3
201312,대전광역시,N,116.6
201312,울산광역시,N,118.9
201312,강원도,N,119.7
201312,충청북도,N,119.6
201312,충청남도,N,121.4
201312,전라북도,N,107.7
201312,전라남도,N,105.8
201312,경상북도,N,123.0
201312,경상남도,N,114.4
201401,전국,Y,128.0
201401,수도권,Y,129.1
201401,서울특별시,N,132.3
201401,인천광역시,N,125.4
201401,경기도,N,128.2
201401,비수도권,Y,126.4
201401,부산광역시,N,123.3
201401,대구광역시,N,137.8
201401,광주광역시,N,128.6
201401,대전광역시,N,125.4
201401,울산광역시,N,123.6
201401,강원도,N,129.3
201401,충청북도,N,130.6
201401,충청남도,N,139.0
201401,전라북도,N,114.3
201401,전라남도,N,109.4
201401,경상북도,N,132.2
201401,경상남도,N,122.8
201402,전국,Y,133.0
201402,수도권,Y,134.8
201402,서울특별시,N,136.1
201402,인천광역시,N,131.7
201402,경기도,N,134.7
201402,비수도권,Y,130.7
201402,부산광역시,N,130.0
201402,대구광역시,N,141.5
201402,광주광역시,N,133.4
201402,대전광역시,N,127.0
201402,울산광역시,N,130.6
201402,강원도,N,133.3
201402,충청북도,N,130.8
201402,충청남도,N,141.8
201402,전라북도,N,119.5
201402,전라남도,N,111.7
201402,경상북도,N,133.2
201402,경상남도,N,129.2
201403,전국,Y,121.2
201403,수도권,Y,120.6
201403,서울특별시,N,119.3
201403,인천광역시,N,126.1
201403,경기도,N,120.2
201403,비수도권,Y,122.2
201403,부산광역시,N,124.8
201403,대구광역시,N,129.5
201403,광주광역시,N,122.3
201403,대전광역시,N,112.4
201403,울산광역시,N,128.7
201403,강원도,N,123.9
201403,충청북도,N,122.9
201403,충청남도,N,128.4
201403,전라북도,N,112.5
201403,전라남도,N,107.2
201403,경상북도,N,123.9
201403,경상남도,N,119.2
201404,전국,Y,120.1
201404,수도권,Y,118.4
201404,서울특별시,N,118.5
201404,인천광역시,N,122.3
201404,경기도,N,117.4
201404,비수도권,Y,122.5
201404,부산광역시,N,125.3
201404,대구광역시,N,131.5
201404,광주광역시,N,121.7
201404,대전광역시,N,111.6
201404,울산광역시,N,128.8
201404,강원도,N,116.7
201404,충청북도,N,125.7
201404,충청남도,N,133.2
201404,전라북도,N,111.3
201404,전라남도,N,106.8
201404,경상북도,N,124.0
201404,경상남도,N,118.2
201405,전국,Y,117.6
201405,수도권,Y,116.4
201405,서울특별시,N,115.8
201405,인천광역시,N,119.4
201405,경기도,N,116.1
201405,비수도권,Y,119.3
201405,부산광역시,N,120.8
201405,대구광역시,N,129.0
201405,광주광역시,N,119.1
201405,대전광역시,N,113.8
201405,울산광역시,N,125.4
201405,강원도,N,112.6
201405,충청북도,N,119.7
201405,충청남도,N,129.2
201405,전라북도,N,110.7
201405,전라남도,N,100.8
201405,경상북도,N,123.7
